A,B,C,D
-422.47,-104.74,-115.91,-84.49
-346.48,-38.85,29.2,22.77
-404.98,-104.72,2.17,-19.86
-368.39,-58.3,-115.08,-94.96
-273.91,37.59,-36.09,-18.75
-293.69,3.68,38.1,8.42
-305.68,-5.13,-95.6,-85.25
-218.97,87.93,-72.49,-45.42
-206.7,76.21,46.94,27.88
-245.8,28.5,-32.54,-39.84
-173.53,109.57,-90.43,-69.41
-140.49,156.83,36.68,30.87
-207.64,60.19,7.81,-12
-214.2,60.39,-123.33,-99.75
-146.42,152.12,-25.94,-23.09
-223.41,72.77,37.37,-16.37
-261.11,47.14,-105.88,-116.06
-208.64,111.25,-82.09,-80.04
-210.46,79.81,40.62,-3.7
-298.12,-18.22,-53.53,-89.87
-261.1,38.69,-130.2,-118.88
-228.39,49.26,16.04,-22.79
-306.99,-33.74,-5.57,-54.98
-312.79,-36.31,-126.33,-121.06
-264.18,19.13,-35.79,-41.14
-313.2,-36.39,33.95,-19.05
-367.14,-85.5,-111.62,-125.61
-296.06,-22.35,-77.92,-76.42
-314.56,-58.04,28.43,-16.08
-381.15,-127.65,-44.55,-74.09
-344.69,-76.43,-121.74,-113.1
-307.48,-53.59,15.09,-23.05
-393.52,-146.91,-4.31,-58.58
-381.95,-133.29,-115.86,-119.21
-318.92,-62.68,-32.85,-47.32
-363.69,-129.64,36.02,-11.34
-406.65,-172.86,-107.91,-109.68
-341.91,-91.73,-85.45,-73.63
-345.7,-108.5,38.91,-3.01
-413.63,-191.87,-53.65,-80.58
-361.41,-137.12,-120.95,-105.76
-321.7,-99.42,14.31,-6.49
-394.73,-190.42,-9.17,-48.86
-390.69,-171.77,-122.96,-116.68
-318.38,-107.16,-34.7,-45.31
-376.08,-183.81,30.58,-28.55
-414.61,-211.93,-104.65,-121.13
-338.3,-122.55,-93.54,-80.8
-333.07,-130.97,26.35,-0.59
-401.29,-206.95,-58.17,-76.43
-362.11,-147.13,-121.22,-101.43
-318.03,-113.15,7.34,-6.69
-373.68,-180.85,-7.11,-36.27
-374.03,-162.13,-131.83,-122.09
-302.14,-97.39,-47.34,-45.88
-340.46,-150.23,29.79,-14.49
-382.18,-184.04,-110.74,-110.89
-306.17,-106.51,-94.06,-73.39
-318.34,-135.35,26.11,-6.63
-376.42,-198.82,-54.03,-82.93
-329.62,-133.25,-129.96,-124.18
-294.65,-98.15,13.05,-22.76
-364.11,-179.01,-0.1,-61.11
-347.22,-168.37,-115.33,-125.77
-290.34,-101.03,-36.69,-57.32
-335.47,-155.81,32.91,-25.7
-372.66,-189.84,-101.56,-114.96
-305.13,-116.57,-92.39,-80.5
-305.08,-141.82,35,-15.43
-374.9,-199.1,-55.7,-80.94
-314.89,-126.4,-127.93,-109.59
-275.01,-102.12,-3.78,-22.7
-338.97,-163.87,-15.21,-53.17
-346.13,-152.6,-136.43,-114.07
-274.39,-87.49,-57.42,-45.71
-295.8,-126.14,25.15,-16.34
-331.87,-172.94,-108.57,-111.95
-268.33,-96.47,-93.27,-77.46
-274.36,-105.7,22.91,-8.08
-341.78,-177.73,-55.79,-85.76
-292.16,-120.24,-127.27,-105.49
-250.55,-87.39,9.61,-9.23
-330.07,-183.78,-5.63,-48.11
-331.55,-157.34,-130.6,-118.2
-241.25,-73.98,-42.76,-35.97
-259.29,-117.72,33.45,-14.71
-292.72,-144.57,-99.73,-106.58
-235.99,-62.92,-96,-85.34
-235.86,-81.07,24.77,-23.84
-303.78,-148.08,-45.93,-86.91
-257.1,-99.32,-129.17,-114.98
-207.42,-61.37,7.17,-16.12
-293.23,-151.64,-9.05,-57.05
-293.44,-145.06,-134.8,-126.98
-224.56,-72.88,-49.33,-44.36
-268.72,-131.78,22.77,-12.38
-309.65,-166.64,-114.18,-113.66
-243.6,-89.18,-97.43,-76.14
-242.89,-99.82,30.06,0.24
-310.86,-169.82,-64.1,-82.74
-260.3,-103.39,-127.87,-106.75
-226.11,-85.25,5.91,-15.71
-310.44,-176.41,-15.72,-43.05
-280.33,-140.95,-126.16,-116.83
-198.37,-46.55,-42.48,-37.83
-248.82,-104.59,33.46,-6.82
-284.6,-138.95,-107.96,-103.8
-201.83,-58.87,-91.23,-70.4
-212.36,-85.02,26.42,-4.48
-280.39,-156.63,-57.44,-75.44
-237.46,-90.28,-132.3,-106.47
-197.44,-68.52,10.74,-10.32
-263.6,-153.32,-7.88,-49.05
-254.54,-120.64,-126.2,-108.08
-196.5,-50.66,-39.37,-34.77
-237.64,-108.92,34.61,-9.94
-276.39,-154,-117.02,-122.17
-196.72,-63.77,-95.93,-79.15
-201.95,-82.67,23.23,-11.07
-255.15,-140.39,-52.59,-71.72
-223.22,-93.49,-126.18,-108.23
-173.48,-57.72,12.87,-7.98
-240.17,-135.32,-1.91,-43.34
-240.52,-115.8,-116.17,-108.38
-182.02,-59.41,-52.64,-49.83
-217.69,-102.29,22.48,-16.2
-267.65,-137.66,-115.08,-111
-195.68,-44.99,-91.92,-74.72
-191.42,-68.84,30.81,-0.43
-261.83,-138.35,-45.93,-77.31
-215.99,-82.81,-121.57,-110.22
-179.4,-61.18,7.89,-17.14
-259.64,-131.6,-8.04,-50.83
-252.64,-101.84,-132.14,-123.32
-153.58,-31.47,-45.55,-41.01
-185.75,-79.97,38.44,-7.5
-242.67,-124.53,-108.63,-108.51
-180.12,-47.15,-92.31,-76.63
-183.68,-68.49,25.23,-6.34
-246.81,-126.66,-47.18,-73.34
-203.54,-71.44,-123.19,-104.89
-169.25,-39.28,11.29,-10.67
-235.38,-116.65,-3.06,-46.09
-224.45,-98.72,-129.2,-114.5
-161.05,-25.38,-42.24,-48.05
-207.33,-93.78,36.42,-17.64
-251.32,-134.33,-99.87,-112.97
-187.92,-65.64,-93.67,-86.37
-177.18,-70.8,42.66,4.25
-259.01,-141.34,-41.06,-67.81
-196.03,-72.91,-115.98,-93.51
-143.61,-36.21,29.17,7.5
-209.41,-123.85,13.25,-34.98
-216.61,-102.19,-131.42,-116.17
-156.92,-36.31,-43.92,-56.41
-193.42,-103.72,24.92,-29.92
-236.44,-131.2,-102.54,-122.83
-167.47,-52.78,-87.96,-78.58
-165.66,-64.77,30.21,-9.61
-228.01,-132.1,-50.45,-72.62
-190.65,-70.37,-131.43,-106.67
-158.55,-43.62,5.03,-17.1
-215.9,-133.47,-2.88,-46.26
-209.95,-105.88,-123.79,-115.36
-132.78,-21.76,-44.34,-46.48
-191.94,-89.39,26.86,-21.78
-232.49,-115.64,-109.22,-113.06
-144.73,-37.77,-92.35,-76.97
-153.46,-60,24.41,-8.29
-222.2,-140.43,-57.55,-80.63
-182.64,-83.29,-125.76,-107.8
-145.08,-39.58,8.54,-21.59
-200.62,-113.16,-1.57,-45.72
-200.7,-97.51,-118.43,-110.87
-152.59,-40.79,-37.97,-48.16
-174.75,-89.26,41.4,-11.68
-214.51,-119.36,-96.73,-104.42
-145.6,-37,-85.97,-69.2
-147.1,-57.02,39.95,5.09
-213.94,-130.66,-44.41,-63.14
-166.46,-70.49,-122.42,-97.69
-127.64,-29.46,7.09,-7.81
-202.42,-117.22,-8.83,-43.18
-205.21,-98.75,-128.51,-116.63
-118.75,-18.99,-44.33,-41.42
-153.97,-57.83,30.77,-9.1
-198.16,-110.79,-110.97,-103.32
-130.9,-49.1,-90.25,-68.17
-141.9,-54.34,29.45,-2.76
-196.94,-96.64,-51.23,-78.54
-153.22,-47.2,-132.07,-104.42
-110.06,-19.35,2.81,-12.36
-180.16,-96.67,-4.2,-39.84
-190.49,-86.15,-131.99,-110.63
-117.94,-10.86,-41.44,-30.96
-165.49,-81.55,31.77,-2.8
-210.49,-113.42,-102.82,-99.92
-138.32,-36.65,-94.91,-73.79
-131.56,-40.72,29.12,-0.85
-204.14,-117.83,-54.63,-74.14
-168.09,-63.05,-128.85,-105.79
-129.61,-23.05,10.66,-6.05
-186.22,-110.26,-4.51,-38.61
-185.69,-97.02,-134.3,-113.46
-124.09,-35.73,-53.69,-41.95
-166.18,-90.38,21.89,-9.41
-208.04,-113.08,-107.63,-103.94
-145.49,-40.04,-99.79,-72.24
-141.04,-51.93,31.85,-0.31
-196.86,-114.56,-53.68,-73.03
-162.05,-63.85,-134.69,-110.6
-113.11,-25.74,4.52,-15.16
-191.15,-109.29,-13.35,-46.34
-190.12,-97.21,-132.88,-118.92
-120.29,-31.38,-53.19,-52
-157.05,-80.68,28.62,-18.2
-197.55,-115.31,-103.41,-119
-134.11,-39.4,-94.23,-81.49
-130.44,-44.42,40.61,-5.15
-195.57,-110.6,-40.65,-73.17
-153.58,-47.22,-123.31,-107.76
-112.05,-10.64,19.91,-4.15
-188.18,-110.3,0.52,-42.86
-184.38,-96.14,-126.81,-119.57
-105.93,-19.94,-38.15,-35.92
-161.95,-81.2,32.08,-22.72
-199.78,-103.61,-102.86,-106.24
-128.52,-24.21,-93.66,-78.57
-129.23,-43.24,41.8,-4.82
-198.84,-127.17,-42.33,-73.89
-152.63,-68.76,-119.18,-106.81
